,0,1,2,3,4,5,6,7,8,9,10,11
0.9971,0.1979,0.20844653,0.20608616,0.20497979,0.21063666,0.21720363,0.20982815,0.21890453,0.2252926,0.22496983,0.22703908,0.22972947
1.00364,0.19681343,0.20731759,0.205221,0.20425035,0.20983562,0.21619278,0.2089757,0.21819372,0.22461858,0.22406907,0.22641385,0.22895558
1.0101799999999999,0.19458804,0.20507704,0.20309275,0.20319863,0.20770466,0.21398874,0.20722735,0.21636906,0.2223971,0.22233973,0.22450535,0.22705325
1.0472000000000001,0.19641419,0.2063964,0.20392092,0.20141813,0.20928667,0.21608105,0.20679681,0.21603839,0.2206108,0.22363959,0.22007623,0.2328161
1.05375,0.19648522,0.20627576,0.20369026,0.20167315,0.20912121,0.21592426,0.20687492,0.21616629,0.22055998,0.2237078,0.22018546,0.23279361
1.0603,0.19690534,0.20671794,0.20390403,0.20242096,0.20924245,0.21628965,0.20750248,0.21684504,0.22128342,0.22441582,0.22089583,0.23350988
1.0668499999999999,0.19631276,0.20615397,0.20319429,0.2022836,0.20873176,0.21565762,0.20718884,0.21642837,0.22064358,0.22392483,0.220445,0.23305567
1.07341,0.19579947,0.20580345,0.20283586,0.20239706,0.20836969,0.2151432,0.20706654,0.21628043,0.22040792,0.22380519,0.22031918,0.2328669
1.07996,0.19478376,0.2044349,0.20151389,0.2013924,0.20687853,0.21369901,0.2059873,0.21514747,0.21911664,0.2224804,0.21910062,0.2314248
1.08651,0.19561216,0.20526043,0.20224136,0.20228098,0.20767102,0.21461898,0.20699736,0.21605468,0.21986496,0.2235646,0.21998447,0.23250139
1.09307,0.19637421,0.20623405,0.20304582,0.20335376,0.20851971,0.21548969,0.20796846,0.2169661,0.22092213,0.22453532,0.22091383,0.23356852
1.0996199999999998,0.19817853,0.20795883,0.20471331,0.20519532,0.21036327,0.21723917,0.20988044,0.21889196,0.22278106,0.22650419,0.22289385,0.23556288
1.10617,0.19866836,0.20857088,0.20524287,0.2061537,0.21081996,0.21780717,0.21065716,0.2196778,0.22355823,0.22727393,0.2237527,0.2364656
1.11273,0.19833499,0.2081529,0.20484133,0.2059968,0.21044299,0.21733439,0.21051374,0.21947524,0.22315627,0.22704954,0.22348014,0.23620561
1.11928,0.19889031,0.20858175,0.20532939,0.20651391,0.21083039,0.21769892,0.21107602,0.2199944,0.22377564,0.2275402,0.22403938,0.23664328
1.12584,0.19968927,0.20933013,0.20600834,0.20729378,0.21157362,0.21840912,0.2118637,0.22070931,0.22458631,0.22836514,0.22487527,0.23740564
1.13239,0.199689,0.2092657,0.20605978,0.20735845,0.21160501,0.21838015,0.21197301,0.22073638,0.22442257,0.22835593,0.22480407,0.23741928
1.1389500000000001,0.19976187,0.20929371,0.20584148,0.20735462,0.21154843,0.21833687,0.21199666,0.22061367,0.22456919,0.22834906,0.22470564,0.23735544
1.14551,0.20009747,0.20973071,0.20623344,0.20793085,0.2118691,0.21869773,0.2126086,0.22112033,0.22474158,0.22883008,0.22522792,0.23786469
1.1520599999999999,0.20059344,0.2102796,0.20672584,0.20864043,0.21234216,0.21911219,0.21318902,0.22167447,0.225381,0.22938557,0.22592321,0.2384572
1.15862,0.20033143,0.20993292,0.20631917,0.20853148,0.21198083,0.21877141,0.21301517,0.22143412,0.22500375,0.22909789,0.22556397,0.23818025
1.16518,0.20038061,0.21006353,0.20636573,0.20880248,0.21199542,0.2187913,0.21333462,0.22161135,0.22511919,0.22925378,0.22578113,0.23827405
1.17173,0.20056923,0.21005099,0.20633818,0.20901386,0.211988,0.21878007,0.21345344,0.22172078,0.225299,0.22934933,0.22595447,0.23846823
1.17829,0.20010614,0.20967828,0.20571606,0.20864394,0.21134165,0.21827614,0.21311608,0.22126535,0.22483855,0.2288658,0.22549152,0.23795901
